"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-worker-5",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-40-workloadb-512-20201207-141828-5.csv 1 400",,,,"Date:","07 Dec 2020 14:18:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 14:18:35,15.015,5.013,79.528,0.162,0.283,1283858432,30374326272,94806016,1816059904,83292.047,478289.762,0,0
07-12 14:18:36,13.263,4.509,81.963,0,0.265,1283756032,30374424576,94806016,1816059904,0,90112,856775,978589
07-12 14:18:37,18.830,4.835,75.573,0.254,0.509,1283821568,30374359040,94806016,1816059904,0,36864,992530,1146174
07-12 14:18:38,15.038,5.013,79.699,0,0.251,1283751936,30374424576,94806016,1816064000,0,139264,798363,909072
07-12 14:18:39,27.020,5.556,66.667,0.253,0.505,1283899392,30374260736,94810112,1816076288,0,24576,1327548,1422582
07-12 14:18:40,30.075,9.774,59.148,0,1.003,1283694592,30374424576,94810112,1816084480,0,122880,1532591,1673910
07-12 14:18:41,39.386,8.696,50.895,0.256,0.767,1284943872,30373117952,94818304,1816162304,0,155648,1946516,2055547
07-12 14:18:42,40.625,8.073,50,0.260,1.042,1285779456,30372270080,94826496,1816166400,0,335872,1868448,2005250
07-12 14:18:43,52.417,12.977,33.079,0.509,1.018,1287241728,30370783232,94834688,1816248320,0,598016,2668959,2840549
07-12 14:18:44,52.591,10.363,34.715,0.518,1.813,1288413184,30369394688,94834688,1816375296,0,593920,2548085,2700168
07-12 14:18:45,36.623,11.688,49.870,0.779,1.039,1288884224,30368657408,94846976,1816522752,0,475136,2078885,2244821
07-12 14:18:46,24.165,7.969,65.039,2.057,0.771,1288097792,30369349632,94855168,1816608768,0,1220608,990481,1060227
07-12 14:18:47,35.115,8.906,51.399,2.545,2.036,1287925760,30369415168,94859264,1816707072,0,1437696,1372247,1500212
07-12 14:18:48,23.499,7.833,65.274,1.567,1.828,1287868416,30369415168,94867456,1816756224,0,999424,1048637,1089700
07-12 14:18:49,23.858,8.629,63.706,2.030,1.777,1288036352,30369206272,94871552,1816793088,0,1007616,1234179,1322480
07-12 14:18:50,25.260,9.375,61.458,2.344,1.562,1288011776,30369124352,94875648,1816887296,0,1187840,1128784,1219252
07-12 14:18:51,23.590,7.436,66.154,1.538,1.282,1287938048,30369140736,94879744,1816940544,0,860160,1075913,1164503
07-12 14:18:52,25.320,9.974,59.847,2.302,2.558,1287839744,30369157120,94896128,1817006080,0,1228800,1358473,1472299
07-12 14:18:53,23.529,7.928,64.194,2.302,2.046,1288056832,30368858112,94908416,1817071616,0,1138688,1174023,1215603
07-12 14:18:54,24.675,8.831,64.935,1.039,0.519,1288069120,30368759808,94928896,1817137152,0,733184,1073696,1157651
07-12 14:18:55,24.165,8.997,63.753,2.057,1.028,1283751936,30372978688,94945280,1817210880,0,1155072,1281299,1421670
07-12 14:18:56,33.419,10.797,51.414,2.057,2.314,1283825664,30372818944,94965760,1817272320,0,1298432,1331419,1482212
07-12 14:18:57,29.427,8.594,57.552,1.562,2.865,1283911680,30372659200,94982144,1817325568,0,901120,1272782,1417131
07-12 14:18:58,24.615,7.436,64.615,1.795,1.538,1284018176,30372462592,94982144,1817415680,0,983040,1117123,1236786
07-12 14:18:59,26.667,8.718,61.282,2.051,1.282,1284272128,30372130816,94998528,1817473024,0,1196032,1342368,1459618
07-12 14:19:00,24.873,8.376,62.944,2.284,1.523,1284325376,30371999744,95010816,1817538560,0,1236992,1090772,1207491
07-12 14:19:01,26.121,7.916,63.325,1.319,1.319,1284005888,30372229120,95019008,1817620480,0,798720,1316800,1396124
07-12 14:19:02,17.481,6.941,73.008,1.285,1.285,1284009984,30372188160,95019008,1817653248,0,593920,825897,858133
07-12 14:19:03,26.329,8.861,60.506,2.532,1.772,1283874816,30372220928,95031296,1817743360,0,1449984,1343767,1374359
07-12 14:19:04,27,7.750,62.250,1.250,1.750,1284214784,30371840000,95031296,1817784320,0,757760,1002006,1071895
07-12 14:19:05,22.704,6.633,68.367,1.276,1.020,1284005888,30372003840,95035392,1817825280,0,585728,941987,996707
07-12 14:19:06,21.522,9.186,67.454,1.050,0.787,1284542464,30371397632,95059968,1817870336,0,839680,1207797,1295433
07-12 14:19:07,22.418,9.068,66.751,1.008,0.756,1284194304,30371700736,95064064,1817911296,0,819200,1106762,1211816
07-12 14:19:08,19.072,8.505,70.876,1.031,0.515,1284452352,30371373056,95072256,1817972736,0,839680,1062288,1131989
07-12 14:19:09,24.468,6.117,67.553,1.330,0.532,1284435968,30371291136,95084544,1818054656,0,1576960,1150980,1244820
07-12 14:19:10,26.448,8.564,63.224,1.511,0.252,1284284416,30371373056,95084544,1818120192,0,1069056,1161798,1261329
07-12 14:19:11,22.164,6.860,69.129,1.055,0.792,1284489216,30371115008,95092736,1818165248,0,774144,1046311,1098379
07-12 14:19:12,24.682,8.142,66.158,0.763,0.254,1284489216,30371057664,95109120,1818206208,0,643072,1197245,1291406
07-12 14:19:13,23.038,8.101,67.089,1.013,0.759,1284120576,30371385344,95113216,1818243072,0,593920,1004102,1084727
07-12 14:19:14,20.526,9.211,68.684,1.053,0.526,1284190208,30371254272,95125504,1818288128,0,819200,1078701,1201743
07-12 14:19:15,27.577,8.505,62.887,0.773,0.258,1284296704,30371106816,95125504,1818329088,0,659456,1231810,1345702
07-12 14:19:16,24.064,7.487,66.578,1.337,0.535,1284218880,30371123200,95133696,1818382336,0,970752,1368486,1575509
07-12 14:19:17,21.995,8.696,68.031,0.767,0.512,1284235264,30371074048,95133696,1818415104,0,540672,1039027,1199986
07-12 14:19:18,21.503,7.772,69.430,0.777,0.518,1284055040,30371237888,95133696,1818431488,0,495616,870391,969783
07-12 14:19:19,22.727,7.323,68.687,0.758,0.505,1284063232,30371205120,95133696,1818456064,0,536576,976641,1078555
07-12 14:19:20,15.206,7.216,76.804,0.515,0.258,1284018176,30371237888,95137792,1818464256,0,339968,685860,752406
07-12 14:19:21,18.346,5.943,74.419,0.775,0.517,1283997696,30371237888,95137792,1818484736,0,307200,878992,914564
07-12 14:19:22,14.436,6.299,77.953,0.787,0.525,1284014080,30371172352,95158272,1818513408,0,528384,808945,865484
07-12 14:19:23,18.863,7.752,71.576,1.550,0.258,1284628480,30370512896,95170560,1818546176,0,1044480,1062763,1123656
07-12 14:19:24,21.875,8.073,69.010,0.781,0.260,1285566464,30369492992,95174656,1818624000,0,786432,991991,1026737
07-12 14:19:25,16.031,7.125,75.827,0.763,0.254,1285300224,30369738752,95178752,1818640384,0,397312,870258,940631
07-12 14:19:26,22.475,9.091,67.172,1.010,0.253,1285955584,30369042432,95178752,1818681344,0,708608,1013566,1092412
07-12 14:19:27,18.848,6.806,73.037,0.785,0.524,1285758976,30369206272,95191040,1818701824,0,557056,935693,1061575
07-12 14:19:28,15.325,6.234,77.143,1.039,0.260,1285672960,30369239040,95215616,1818726400,0,610304,862981,905215
07-12 14:19:29,21.628,6.870,69.975,1.272,0.254,1285636096,30369206272,95219712,1818787840,0,978944,1163654,1232165
07-12 14:19:30,23.607,7.958,67.109,1.061,0.265,1285971968,30368800768,95227904,1818845184,0,749568,1075083,1168305
07-12 14:19:31,17.557,8.906,72.265,1.018,0.254,1286197248,30368542720,95232000,1818873856,0,630784,969322,1038939
07-12 14:19:32,22.727,7.071,69.192,0.758,0.253,1286103040,30368591872,95244288,1818906624,0,626688,904279,974395
