"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloada-1024-20201207-171730-0.csv 1 400",,,,"Date:","07 Dec 2020 17:17:42 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 17:17:42,37.526,8.383,51.068,2.777,0.247,1951203328,25931378688,96210944,5488549888,94520.968,12784363.085,0,0
07-12 17:17:43,34.872,7.436,56.410,1.026,0.256,1951170560,25931390976,96210944,5488558080,0,729088,2545907,2613664
07-12 17:17:44,27.577,6.959,63.918,1.289,0.258,1951150080,25931407360,96210944,5488562176,0,647168,2130111,2184616
07-12 17:17:45,31.620,7.198,60.411,0.257,0.514,1951035392,25931522048,96210944,5488562176,0,188416,2418122,2398928
07-12 17:17:46,24.479,5.729,68.229,1.302,0.260,1951113216,25931440128,96210944,5488566272,0,614400,1889580,1917013
07-12 17:17:47,28.608,6.959,62.629,1.289,0.515,1951191040,25931358208,96210944,5488570368,0,774144,2281289,2304718
07-12 17:17:48,34.085,8.020,56.892,0.752,0.251,1951330304,25931210752,96210944,5488578560,0,643072,2323869,2397887
07-12 17:17:49,35.516,8.060,55.416,1.008,0,1951367168,25931153408,96210944,5488582656,0,598016,2729374,2814231
07-12 17:17:50,31.714,5.627,62.148,0.256,0.256,1951711232,25930760192,96210944,5488590848,0,212992,2166009,2125365
07-12 17:17:51,32.216,8.247,57.990,1.289,0.258,1951080448,25931341824,96210944,5488603136,0,569344,2514200,2551640
07-12 17:17:52,37.221,9.181,51.861,1.489,0.248,1959612416,25922670592,96210944,5488619520,0,851968,2249728,2322386
07-12 17:17:53,39.241,10.633,48.354,1.772,0,1959944192,25922076672,96210944,5488652288,0,1306624,2996643,3120481
