"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-worker-5",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloada-1024-20201207-173619-5.csv 1 400",,,,"Date:","07 Dec 2020 17:36:30 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 17:36:30,29.810,7.357,61.300,1.334,0.199,1879752704,29122269184,96129024,2449891328,78603.773,1954046.419,0,0
07-12 17:36:31,25.635,7.107,66.751,0.254,0.254,1879777280,29122240512,96129024,2449895424,0,90112,2321000,2319654
07-12 17:36:32,22.338,7.273,70.390,0,0,1879642112,29122371584,96129024,2449899520,0,0,2171351,2102691
07-12 17:36:33,30.491,6.718,62.532,0,0.258,1879592960,29122420736,96129024,2449899520,0,106496,2641764,2593551
07-12 17:36:34,29.668,6.905,62.916,0.256,0.256,1879527424,29122486272,96129024,2449899520,0,65536,2580191,2526558
07-12 17:36:35,27.990,5.598,66.158,0,0.254,1879588864,29122420736,96129024,2449903616,0,77824,2458135,2403876
07-12 17:36:36,31.969,8.440,59.591,0,0,1879719936,29122289664,96129024,2449903616,0,0,2535157,2509608
07-12 17:36:37,45.431,7.572,46.736,0,0.261,1879777280,29122215936,96129024,2449920000,0,0,3092695,3081742
07-12 17:36:38,48.329,11.054,40.103,0.257,0.257,1880498176,29121454080,96129024,2449960960,0,184320,3755679,3831939
07-12 17:36:39,52.850,11.140,35.492,0.259,0.259,1881194496,29120802816,96129024,2450010112,0,86016,3701804,3621424
07-12 17:36:40,59.269,9.399,31.332,0,0,1881485312,29120299008,96129024,2450067456,0,90112,3902417,3858669
07-12 17:36:41,46.400,11.467,41.600,0,0.533,1882243072,29119365120,96129024,2450128896,0,0,3389817,3421029
07-12 17:36:42,68.052,11.169,20.779,0,0,1884045312,29117296640,96129024,2450190336,0,53248,4438646,4253482
07-12 17:36:43,61.039,12.468,26.234,0,0.260,1884925952,29116141568,96129024,2450264064,0,167936,4003680,4038795
07-12 17:36:44,52.742,12.272,34.465,0.261,0.261,1886257152,29114503168,96129024,2450354176,0,53248,3625194,3606580
07-12 17:36:45,40.104,9.896,49.740,0,0.260,1886433280,29114130432,96129024,2450399232,0,167936,2621416,2572067
07-12 17:36:46,44.063,10.554,44.855,0.264,0.264,1886826496,29113614336,96129024,2450419712,0,262144,2832945,2790779
07-12 17:36:47,37.958,11.780,49.476,0.524,0.262,1886711808,29113614336,96129024,2450452480,0,311296,2868069,2958733
07-12 17:36:48,39.323,9.896,48.958,1.562,0.260,1887072256,29113171968,96129024,2450468864,0,802816,2726346,2884658
07-12 17:36:49,46.457,11.024,40.945,1.312,0.262,1887297536,29112877056,96129024,2450489344,0,958464,2912335,3016563
07-12 17:36:50,45.550,9.686,43.194,1.309,0.262,1887993856,29112061952,96129024,2450489344,0,1265664,2749901,2894800
07-12 17:36:51,49.351,11.429,36.883,2.338,0,1888878592,29111083008,96129024,2450509824,0,1662976,3251501,3436657
07-12 17:36:52,46.384,13.217,37.905,2.244,0.249,1889075200,29110812672,96129024,2450530304,0,1568768,3217264,3377185
07-12 17:36:53,46.701,11.675,38.579,2.538,0.508,1889243136,29110624256,96129024,2450534400,0,1716224,2756078,3107157
07-12 17:36:54,45.524,9.719,43.223,1.279,0.256,1769279488,29227888640,96129024,2453233664,0,3448832,2357794,2559211
07-12 17:36:55,47.750,13.750,33.750,4.750,0,1780097024,29215739904,96129024,2454466560,0,44294144,2634547,2853183
07-12 17:36:56,42.746,14.767,36.010,6.218,0.259,1784233984,29213327360,96129024,2452611072,0,45891584,3016368,3268259
07-12 17:36:57,37.533,12.598,46.457,3.150,0.262,1784160256,29213396992,96129024,2452615168,0,2072576,2636649,2992487
07-12 17:36:58,45.758,10.540,40.874,2.571,0.257,1785716736,29211840512,96129024,2452615168,0,1523712,2750098,2910711
07-12 17:36:59,43.077,12.821,41.026,2.564,0.513,1833791488,29163765760,96129024,2452615168,0,1810432,2563957,3076659
07-12 17:37:00,54.198,12.214,32.061,1.527,0,1837039616,29160517632,96129024,2452615168,0,2596864,2924050,2994978
07-12 17:37:01,48.601,12.468,37.659,1.018,0.254,1837260800,29160296448,96129024,2452615168,0,1204224,3056538,3178195
07-12 17:37:02,45.361,10.052,42.526,1.804,0.258,1837481984,29160071168,96129024,2452619264,0,1585152,2855722,2775297
07-12 17:37:03,43.467,10.302,43.970,2.261,0,1837875200,29159677952,96129024,2452619264,0,1802240,2614184,2861456
07-12 17:37:04,44.388,11.735,42.347,1.276,0.255,1837711360,29159841792,96129024,2452619264,0,1396736,2812902,2835686
07-12 17:37:05,46.154,8.718,43.846,1.026,0.256,1838338048,29159211008,96129024,2452623360,0,1191936,2752036,2695595
07-12 17:37:06,44.737,10.526,43.158,1.579,0,1838153728,29159395328,96129024,2452623360,0,1527808,3417184,3401276
07-12 17:37:07,49.742,11.340,37.371,1.289,0.258,1838522368,29159018496,96129024,2452631552,0,1658880,3497584,3340145
07-12 17:37:08,44.872,9.487,44.103,1.282,0.256,1838272512,29159268352,96129024,2452631552,0,1097728,2700327,2716484
07-12 17:37:09,48.579,11.628,38.243,1.292,0.258,1838333952,29159202816,96129024,2452635648,0,1642496,3632585,3543300
07-12 17:37:10,45.619,10.825,41.753,1.546,0.258,1838469120,29159063552,96129024,2452639744,0,1388544,3531560,3406826
07-12 17:37:11,44.588,8.763,45.103,1.289,0.258,1838497792,29159034880,96129024,2452639744,0,1310720,2847189,2816813
07-12 17:37:12,44.416,12.690,40.863,1.523,0.508,1838759936,29158772736,96129024,2452639744,0,1335296,3607585,3471353
07-12 17:37:13,45.876,12.371,38.918,1.804,1.031,1838870528,29158662144,96129024,2452639744,0,1388544,3339002,3324066
07-12 17:37:14,54.103,9.744,34.872,1.026,0.256,1838678016,29158850560,96129024,2452643840,0,1216512,3702714,3514584
07-12 17:37:15,50.643,8.997,38.817,1.285,0.257,1838850048,29158678528,96129024,2452643840,0,1433600,3547470,3438464
07-12 17:37:16,46.701,10.914,40.863,1.523,0,1840082944,29157445632,96129024,2452643840,0,1585152,3144695,2970439
07-12 17:37:17,45.316,9.114,44.051,1.266,0.253,1839173632,29158354944,96129024,2452643840,0,1294336,3106525,3122109
07-12 17:37:18,49.490,11.735,36.990,1.531,0.255,1839230976,29158289408,96129024,2452652032,0,1597440,3848399,3727445
07-12 17:37:19,51.157,10.540,37.532,0.771,0,1840521216,29156995072,96129024,2452656128,0,1359872,3289062,3072393
07-12 17:37:20,45.269,10.742,42.199,1.535,0.256,1840132096,29157384192,96129024,2452656128,0,1449984,3260991,3252287
07-12 17:37:21,40.209,11.488,46.736,1.567,0,1839980544,29157531648,96129024,2452660224,0,1789952,3091782,3111331
07-12 17:37:22,51.047,10.471,36.911,1.309,0.262,1840095232,29157416960,96129024,2452660224,0,1581056,3246689,3072185
07-12 17:37:23,42.969,11.198,44.271,1.302,0.260,1840173056,29157339136,96129024,2452660224,0,1175552,2837506,2839260
07-12 17:37:24,43.377,11.948,43.117,1.558,0,1840103424,29157404672,96129024,2452664320,0,1589248,3015715,3065065
07-12 17:37:25,42.526,11.340,44.588,1.289,0.258,1840320512,29157183488,96129024,2452668416,0,1761280,2904483,2908229
