"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloadb-1024-20201207-175611-client.csv 1 400",,,,"Date:","07 Dec 2020 17:56:22 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 17:56:22,3.017,0.817,96.073,0.019,0.073,481443840,31305883648,45797376,1730834432,65576.142,263121.747,0,0
07-12 17:56:23,1.004,0.251,98.369,0.376,0,481128448,31305949184,45912064,1730904064,0,1191936,154574,121064
07-12 17:56:24,9.963,6.725,83.064,0.249,0,523636736,31262920704,45932544,1731125248,0,577536,406454,393581
07-12 17:56:25,26.574,9.068,64.106,0.126,0.126,662384640,31123062784,45948928,1731272704,0,196608,105191,227125
07-12 17:56:26,73.717,13.892,12.390,0,0,1142390784,30641827840,45948928,1731383296,0,0,5917907,5699109
07-12 17:56:27,74.307,20.025,5.542,0,0.126,1373806592,30408720384,45948928,1731518464,0,0,9707613,9390249
07-12 17:56:28,67.884,23.678,8.438,0,0,1696018432,30083014656,45948928,1731895296,0,4096,8974965,8723656
07-12 17:56:29,76.837,20.922,2.242,0,0,1902407680,29872635904,45948928,1732206592,0,0,12982301,12508999
07-12 17:56:30,71.176,25.284,3.413,0,0.126,2572402688,29199044608,45953024,1732669440,0,77824,11293430,10923340
07-12 17:56:31,73.902,24.341,1.757,0,0,2709680128,29057306624,45953024,1733029888,0,0,14190544,13781328
07-12 17:56:32,76.404,22.597,0.999,0,0,2962554880,28799868928,45953024,1733558272,0,0,14954915,14455549
07-12 17:56:33,72.625,25.875,1.375,0,0.125,3644514304,28113797120,45953024,1734037504,0,0,12814745,12420090
07-12 17:56:34,75.625,23.250,1.125,0,0,4038074368,27715182592,45965312,1734656000,0,143360,14968713,14457979
07-12 17:56:35,74.685,23.804,1.511,0,0,4392636416,27355926528,45965312,1735110656,0,0,15563265,15052181
07-12 17:56:36,76.190,22.556,1.253,0,0,4570312704,27173793792,45965312,1735675904,0,0,16184596,15628529
07-12 17:56:37,61.578,25.873,12.419,0,0.129,5183328256,26556772352,45965312,1736200192,0,0,10179914,9834901
07-12 17:56:38,69.500,25.250,5.125,0,0.125,5566246912,26169294848,45965312,1736728576,0,0,14384581,13836010
07-12 17:56:39,78.294,20.954,0.753,0,0,5697622016,26033160192,45973504,1737175040,0,49152,17027465,15730073
07-12 17:56:40,77.096,22.028,0.751,0,0.125,6017236992,25708670976,45973504,1737814016,0,0,15850720,14392677
07-12 17:56:41,77.625,21.500,0.875,0,0,6333952000,25387757568,45973504,1738301440,0,0,16204641,14082880
07-12 17:56:42,71.698,27.673,0.629,0,0,6828531712,24888320000,45973504,1738792960,0,0,18533988,15159757
07-12 17:56:43,77.403,21.723,0.624,0,0.250,6851698688,24860950528,45973504,1739280384,0,0,19189951,15239899
07-12 17:56:44,80.625,17.625,1.375,0,0.375,6872018944,24836272128,45981696,1739837440,0,16384,17294904,13244674
07-12 17:56:45,77.347,21.902,0.626,0,0.125,7043903488,24659718144,45981696,1740431360,0,0,20149911,15029301
07-12 17:56:46,80.100,18.023,1.627,0,0.250,7063777280,24635740160,45981696,1740873728,0,0,18429057,13417192
07-12 17:56:47,77.597,19.024,3.129,0,0.250,7076655104,24618881024,45981696,1741361152,0,0,17216054,12969150
07-12 17:56:48,81.589,13.493,4.918,0,0,7098998784,24594509824,45981696,1741815808,0,0,14172518,9401467
07-12 17:56:49,77.750,9.750,12.375,0,0.125,7124656128,24566972416,45989888,1742139392,0,16384,10046255,5118898
