"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloadb-1024-20201207-180326-0.csv 1 400",,,,"Date:","07 Dec 2020 18:03:37 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
07-12 18:03:37,40.923,9.282,46.771,2.754,0.269,2604331008,25905508352,96268288,4862328832,60954.898,9558186.004,0,0
07-12 18:03:38,22.251,6.138,71.355,0.256,0,2602291200,25907544064,96268288,4862328832,0,131072,1962534,2023466
07-12 18:03:39,28.354,6.835,64.557,0,0.253,2601492480,25908338688,96268288,4862332928,0,86016,2329462,2283032
07-12 18:03:40,21.628,5.598,72.265,0.254,0.254,2600759296,25909067776,96268288,4862337024,0,90112,1662618,1648820
07-12 18:03:41,26.768,7.071,66.162,0,0,2599886848,25909940224,96268288,4862337024,0,36864,2235385,2174202
07-12 18:03:42,24.937,7.557,67.003,0.252,0.252,2598907904,25910915072,96268288,4862341120,0,176128,2133001,2245296
07-12 18:03:43,28.934,9.137,61.421,0.254,0.254,2597937152,25911881728,96268288,4862345216,0,86016,2318842,2337745
07-12 18:03:44,27.792,7.532,64.416,0,0.260,2597617664,25912201216,96268288,4862345216,0,86016,2045236,2121120
07-12 18:03:45,32.828,8.081,58.838,0,0.253,2597138432,25912659968,96268288,4862365696,0,0,2441826,2359205
07-12 18:03:46,31.959,8.505,58.763,0.258,0.515,2596724736,25913057280,96268288,4862382080,0,49152,2506277,2558009
07-12 18:03:47,36.508,7.143,56.085,0,0.265,2596872192,25912860672,96268288,4862398464,0,114688,2766335,2789771
07-12 18:03:48,40.399,8.479,50.623,0.249,0.249,2596970496,25912655872,96268288,4862423040,0,147456,2505148,2557987
07-12 18:03:49,36.788,9.845,53.109,0,0.259,2597269504,25912254464,96268288,4862459904,0,16384,2758346,2751394
07-12 18:03:50,43.532,9.701,46.517,0,0.249,2599006208,25910362112,96268288,4862500864,0,0,2706893,2741940
07-12 18:03:51,40.526,10,48.947,0,0.526,2599272448,25910001664,96268288,4862529536,0,151552,3087718,3120851
07-12 18:03:52,36.591,10.025,52.882,0.251,0.251,2600026112,25909194752,96268288,4862550016,0,151552,2320446,2459270
07-12 18:03:53,40.103,11.825,46.787,1.028,0.257,2600693760,25908506624,96268288,4862554112,0,598016,2694709,2862385
07-12 18:03:54,39.426,11.488,46.475,2.350,0.261,2601545728,25907580928,96268288,4862595072,0,1568768,2476814,2658108
07-12 18:03:55,51.451,11.873,34.037,2.375,0.264,2602139648,25906909184,96268288,4862623744,0,2121728,3462713,3899564
07-12 18:03:56,65.491,11.335,20.655,2.267,0.252,2603962368,25905053696,96268288,4862623744,0,2719744,3771517,4441387
07-12 18:03:57,65.063,13.165,19.747,1.772,0.253,2604609536,25904246784,96268288,4862664704,0,3153920,3829093,4546334
07-12 18:03:58,56.962,16.456,23.797,2.532,0.253,2608025600,25900740608,96268288,4862697472,0,3547136,3685055,4791888
07-12 18:03:59,54.545,12.374,30.556,2.273,0.253,2608021504,25900675072,96268288,4862746624,0,2228224,3415643,4170732
07-12 18:04:00,69.797,10.914,17.766,1.523,0,2608668672,25899991040,96268288,4862750720,0,2723840,4008776,5119094
07-12 18:04:01,62.035,14.392,22.084,1.241,0.248,2613608448,25894875136,96268288,4862795776,0,2641920,4113827,5207304
07-12 18:04:02,61.480,11.224,25.510,1.531,0.255,2613780480,25894354944,96268288,4862844928,0,2088960,3442631,4099678
07-12 18:04:03,58.929,12.500,27.041,1.531,0,2619375616,25888493568,96268288,4862881792,0,2523136,4043717,4894064
07-12 18:04:04,66.093,11.548,19.656,2.211,0.491,2617212928,25890418688,96268288,4862939136,0,4059136,4020770,5040188
07-12 18:04:05,70.025,10.579,16.877,2.267,0.252,2617692160,25889734656,96268288,4862976000,0,3420160,3886088,5097356
07-12 18:04:06,62.121,10.101,25.758,1.768,0.253,2617311232,25890115584,96268288,4862976000,0,2605056,3283646,4188947
07-12 18:04:07,53.316,11.990,29.592,4.337,0.765,2617577472,25889849344,96268288,4862976000,0,3641344,3192587,4250044
07-12 18:04:08,46.867,13.784,33.584,5.013,0.752,2617610240,25889816576,96268288,4862976000,0,3227648,2897985,3228437
07-12 18:04:09,51.407,14.834,28.389,4.604,0.767,2617892864,25889525760,96268288,4862984192,0,4263936,3550845,4183633
07-12 18:04:10,53.652,12.343,29.975,3.275,0.756,2619412480,25888006144,96268288,4862984192,0,3137536,3710002,4600108
07-12 18:04:11,65.491,9.572,21.914,2.267,0.756,2619904000,25887514624,96268288,4862984192,0,2310144,3347714,3597786
07-12 18:04:12,60.349,14.464,20.948,3.242,0.998,2619764736,25887649792,96268288,4862988288,0,3559424,3457068,4134294
07-12 18:04:13,52.296,13.776,27.806,4.592,1.531,2620329984,25887084544,96268288,4862988288,0,3026944,3359607,3759305
07-12 18:04:14,59,14.500,22,3.250,1.250,2620649472,25886765056,96268288,4862988288,0,3366912,3710099,4662916
07-12 18:04:15,59.645,13.959,20.812,3.553,2.030,2620874752,25886539776,96268288,4862988288,0,3633152,3632503,4579712
07-12 18:04:16,61.364,12.626,22.727,2.525,0.758,2623471616,25883942912,96268288,4862988288,0,2850816,3496002,4333200
07-12 18:04:17,67.574,12.871,16.832,1.733,0.990,2622697472,25884717056,96268288,4862988288,0,3096576,3856147,5027316
07-12 18:04:18,69.192,12.121,14.899,2.525,1.263,2622820352,25884594176,96268288,4862988288,0,3268608,4066242,5143719
07-12 18:04:19,56.378,13.265,25.765,3.316,1.276,2622750720,25884663808,96268288,4862988288,0,3080192,3508683,4646956
07-12 18:04:20,54.987,12.788,26.343,3.581,2.302,2622418944,25884995584,96268288,4862988288,0,2969600,3191773,4107009
