"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-20-workloada-256-20201206-110042-0.csv 1 400",,,,"Date:","06 Dec 2020 11:00:47 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 11:00:47,10.861,3.048,85.742,0.256,0.093,4865003520,25917796352,43569152,2715148288,164194.837,1561656.398,0,0
06-12 11:00:48,1.772,0.759,97.468,0,0,4864663552,25918115840,43577344,2715156480,0,98304,45586,55349
06-12 11:00:49,2,1,97,0,0,4864684032,25918083072,43585536,2715160576,0,118784,36024,36233
06-12 11:00:50,1.005,0.503,98.241,0,0.251,4863619072,25919148032,43585536,2715160576,0,0,31163,31620
06-12 11:00:51,0.759,0.506,98.734,0,0,4863586304,25919180800,43585536,2715160576,0,0,38321,36142
06-12 11:00:52,1.256,0.503,98.241,0,0,4863619072,25919148032,43585536,2715160576,0,0,34562,33067
06-12 11:00:53,8.101,2.025,89.873,0,0,4863684608,25919082496,43585536,2715160576,0,0,111950,139735
06-12 11:00:54,64.051,7.848,27.848,0,0.253,4867616768,25914793984,43593728,2715299840,0,32768,984284,1088871
06-12 11:00:55,64.411,6.516,29.073,0,0,4899717120,25882238976,43593728,2715570176,0,4096,690436,824419
06-12 11:00:56,59.500,10,30.250,0,0.250,4901511168,25879855104,43593728,2716069888,0,0,1290625,1639072
06-12 11:00:57,55.612,10.459,33.929,0,0,4962701312,25818046464,43593728,2716639232,0,0,1298284,1741485
06-12 11:00:58,61.954,4.884,33.162,0,0,5006364672,25773789184,43593728,2717175808,0,0,892708,1396535
06-12 11:00:59,63.868,7.379,28.499,0,0.254,5071704064,25707991040,43601920,2717601792,0,61440,1084001,1380556
06-12 11:01:00,52.250,10.250,37.250,0,0.250,5084856320,25694195712,43601920,2718224384,0,0,1241644,1679960
06-12 11:01:01,60.302,12.563,27.136,0,0,5122998272,25655373824,43601920,2718904320,0,0,1480052,1938712
