"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-20-workloadb-256-20201206-122915-0.csv 1 400",,,,"Date:","06 Dec 2020 12:29:20 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 12:29:20,16.013,3.956,79.325,0.681,0.024,4704137216,26587058176,38526976,2228441088,1034006.850,5152177.354,0,0
06-12 12:29:21,1.746,0.748,97.257,0.249,0,4704104448,26587058176,38543360,2228473856,0,147456,33360,41576
06-12 12:29:22,0.508,0.254,99.239,0,0,4704137216,26587025408,38543360,2228473856,0,4096,32293,32076
06-12 12:29:23,2.010,1.005,96.985,0,0,4703170560,26587992064,38543360,2228473856,0,626688,34793,31338
06-12 12:29:24,7.519,1.003,91.479,0,0,4703195136,26587959296,38543360,2228482048,0,0,85508,101331
06-12 12:29:25,36.090,3.258,60.401,0,0.251,4708188160,26582765568,38543360,2228559872,0,0,609527,718377
06-12 12:29:26,76.826,8.060,15.113,0,0,4715151360,26575212544,38543360,2228944896,0,0,1085956,1361588
06-12 12:29:27,67.830,8.978,23.192,0,0,4747526144,26542096384,38551552,2229477376,0,73728,1035293,1443319
06-12 12:29:28,47.570,5.882,46.547,0,0,4750053376,26539229184,38551552,2229792768,0,4456448,783096,1131937
06-12 12:29:29,36.962,6.582,56.456,0,0,4805828608,26483003392,38551552,2230222848,0,0,570473,844061
06-12 12:29:30,58.186,9.824,31.990,0,0,4806795264,26481455104,38551552,2230800384,0,0,1115325,1532503
06-12 12:29:31,54.386,13.033,32.331,0,0.251,4901621760,26386124800,38551552,2231271424,0,0,1101360,1568515
06-12 12:29:32,62.814,13.065,24.121,0,0,4991688704,26295230464,38559744,2232066048,0,53248,1114204,1678653
06-12 12:29:33,70.876,9.794,19.330,0,0,4993118208,26293067776,38559744,2232778752,0,0,1332958,1939830
06-12 12:29:34,59.446,15.113,25.189,0,0.252,4999135232,26286342144,38559744,2233483264,0,0,1565071,2263601
06-12 12:29:35,47.105,14.474,38.158,0,0.263,5016354816,26268188672,38559744,2234396672,0,0,1438445,1936440
06-12 12:29:36,54.337,17.602,27.806,0,0.255,5013053440,26270605312,38559744,2235277312,0,0,1697988,2426851
06-12 12:29:37,65.920,10.448,23.632,0,0,5014712320,26268213248,38567936,2235985920,0,24576,1401014,1967378
06-12 12:29:38,84.131,10.076,5.542,0,0.252,5027135488,26254753792,38567936,2237005824,0,0,1500775,2239258
06-12 12:29:39,76.131,9.045,14.824,0,0,5031665664,26249334784,38567936,2237878272,0,0,1225626,1753927
06-12 12:29:40,47.273,13.247,39.481,0,0,5032099840,26248241152,38567936,2238529536,0,0,1267679,1735967
06-12 12:29:41,51.020,18.367,30.357,0,0.255,5038645248,26241298432,38567936,2238922752,0,0,1675635,2233011
06-12 12:29:42,45.547,17.812,36.641,0,0,5038120960,26240524288,38576128,2240188416,0,24576,1664901,2269402
06-12 12:29:43,43.257,15.522,41.221,0,0,5043298304,26234830848,38576128,2240696320,0,0,1469821,1994421
06-12 12:29:44,46.410,13.590,39.487,0.256,0.256,5059858432,26217312256,38576128,2241613824,0,663552,1471490,1984197
06-12 12:29:45,38.205,14.872,46.923,0,0,5060218880,26216767488,38576128,2241798144,0,0,1368756,1805065
06-12 12:29:46,52.152,14.177,33.671,0,0,5069914112,26205204480,38580224,2243620864,0,0,1914824,2677904
06-12 12:29:47,50.255,12.500,37.245,0,0,5089492992,26194259968,38592512,2235088896,0,65536,1472057,2078168
06-12 12:29:48,48.819,16.798,34.121,0,0.262,5097701376,26195308544,38592512,2225954816,0,0,1616897,2176330
06-12 12:29:49,48.082,13.811,37.852,0.256,0,5097811968,26194440192,38592512,2226708480,0,638976,1544649,2071273
06-12 12:29:50,52.243,15.303,32.454,0,0,5097615360,26193854464,38592512,2227478528,0,0,1596382,2133065
06-12 12:29:51,48.628,13.965,37.157,0,0.249,5096960000,26193784832,38592512,2228195328,0,0,1623834,2154496
06-12 12:29:52,46.875,16.667,36.458,0,0,5096955904,26192945152,38600704,2229022720,0,90112,1646292,2232072
06-12 12:29:53,47.150,18.653,34.197,0,0,5096665088,26192494592,38600704,2229760000,0,0,1680270,2198811
06-12 12:29:54,55.754,18.670,25.575,0,0,5099171840,26188693504,38600704,2231050240,0,4096,2209686,3081744
06-12 12:29:55,58.312,19.437,21.995,0,0.256,5102796800,26183835648,38600704,2232242176,0,0,2262618,3074400
06-12 12:29:56,58.398,17.313,24.289,0,0,5110247424,26175135744,38600704,2233466880,0,0,2139381,3065951
06-12 12:29:57,55.112,18.204,26.683,0,0,5114916864,26169364480,38608896,2234531840,0,32768,2036758,2798578
06-12 12:29:58,64.194,16.113,19.693,0,0,5121163264,26161725440,38608896,2235920384,0,0,2332953,3273551
06-12 12:29:59,52.713,18.346,28.424,0.258,0.258,5127405568,26154278912,38608896,2237091840,0,7610368,2180008,2991271
06-12 12:30:00,55.668,17.884,26.448,0,0,5133176832,26147311616,38608896,2238267392,0,0,2185437,3015419
06-12 12:30:01,48.492,16.583,34.925,0,0,5176311808,26048114688,38608896,2292985856,0,0,963216,1239027
06-12 12:30:02,51,18.500,30.500,0,0,5238091776,25896730624,38617088,2380509184,0,65536,730784,996223
06-12 12:30:03,66.500,24.750,8.750,0,0,5319401472,25681211392,38617088,2511282176,0,0,865027,1282634
06-12 12:30:04,77.500,22,0.500,0,0,5390667776,25472770048,38617088,2644623360,0,73728,989373,1499736
06-12 12:30:05,71.033,17.632,2.771,8.564,0,5433774080,25316630528,38621184,2754600960,0,97779712,1046005,1530691
06-12 12:30:06,47.250,9.750,7.500,35.500,0,5274722304,25626193920,38682624,2607583232,0,110686208,672312,1075872
06-12 12:30:07,70.677,23.058,4.762,1.253,0.251,5308538880,25481814016,38707200,2715709440,0,49606656,611266,868514
06-12 12:30:08,84.925,12.563,2.513,0,0,5342658560,25343447040,38707200,2817044480,0,0,1112461,1765135
06-12 12:30:09,84.925,10.553,4.020,0.503,0,5346410496,25247981568,38707200,2906320896,0,54788096,1186419,1787459
06-12 12:30:10,37,8.750,14,40.250,0,5347512320,25283694592,38744064,2870095872,0,123736064,806453,1166955
06-12 12:30:11,33.756,10.660,40.102,15.228,0.254,5357809664,25471987712,38789120,2675748864,0,79417344,937255,1314703
06-12 12:30:12,42.750,11.750,45.500,0,0,5365936128,25463328768,38789120,2676457472,0,0,1547563,2146394
06-12 12:30:13,44.500,12.750,42.750,0,0,5365452800,25462976512,38789120,2677293056,0,0,1652017,2228700
06-12 12:30:14,57.513,20.984,21.503,0,0,5370691584,25456308224,38789120,2678722560,0,0,2447241,3344480
06-12 12:30:15,56.378,18.112,25.255,0,0.255,5379932160,25445871616,38789120,2679918592,0,0,2072978,2849971
06-12 12:30:16,56.962,15.949,27.089,0,0,5384523776,25440153600,38797312,2681036800,0,69632,2129969,2881852
06-12 12:30:17,50.125,16.040,33.835,0,0,5386240000,25437605888,38797312,2681851904,0,0,1718461,2246027
06-12 12:30:18,43.333,14.615,42.051,0,0,5393002496,25430048768,38797312,2682646528,0,0,1581451,2091573
06-12 12:30:19,54.569,16.751,28.426,0,0.254,5398999040,25422659584,38797312,2684022784,0,0,2197898,3169708
06-12 12:30:20,55.838,14.721,28.680,0.761,0,5404930048,25425219584,38797312,2675662848,0,22065152,2169346,3023594
06-12 12:30:21,63.846,17.692,18.462,0,0,5413167104,25415438336,38805504,2677198848,0,65536,2532521,3565349
06-12 12:30:22,48.062,13.953,37.984,0,0,5416902656,25420984320,38805504,2668146688,0,0,1575180,2069378
06-12 12:30:23,55.385,18.718,25.641,0,0.256,5418250240,25418203136,38805504,2669621248,0,0,2181621,3040941
06-12 12:30:24,47.013,15.844,37.143,0,0,5422678016,25412907008,38805504,2670489600,0,0,1749095,2331047
06-12 12:30:25,56.091,15.482,28.426,0,0,5428854784,25405583360,38805504,2671636480,0,8192,2130457,2873662
06-12 12:30:26,56.771,17.969,25.260,0,0,5428588544,25404452864,38813696,2673025024,0,61440,2348611,3374710
06-12 12:30:27,57.789,18.844,23.116,0,0.251,5443985408,25387569152,38813696,2674511872,0,0,2426280,3455913
06-12 12:30:28,55.039,18.088,26.873,0,0,5449142272,25381310464,38813696,2675613696,0,0,2144883,2899197
06-12 12:30:29,60.052,19.330,20.619,0,0,5459247104,25369698304,38813696,2677121024,0,0,2437751,3433348
06-12 12:30:30,56.443,16.495,26.031,0.773,0.258,5462032384,25365794816,38813696,2678239232,0,8740864,2131105,2856113
06-12 12:30:31,41.162,16.162,42.677,0,0,5465219072,25361657856,38821888,2679177216,0,36864,1577134,2360436
06-12 12:30:32,59.796,16.285,23.919,0,0,5475700736,25350012928,38821888,2680332288,0,0,2209215,3018944
06-12 12:30:33,33.249,10.406,56.345,0,0,5475713024,25349369856,38821888,2680963072,0,0,1260745,1736725
06-12 12:30:34,55.639,16.040,28.070,0,0.251,5478060032,25345531904,38821888,2682449920,0,0,2312794,3287974
06-12 12:30:35,57.143,19.133,23.724,0,0,5488488448,25333817344,38821888,2683731968,0,49152,2294494,3259614
06-12 12:30:36,52.658,10.633,36.709,0,0,5495336960,25326088192,38830080,2684571648,0,65536,1334924,2071726
06-12 12:30:37,67.609,17.481,14.910,0,0,5502660608,25317408768,38830080,2685911040,0,0,2407029,3455477
06-12 12:30:38,56.464,18.470,24.802,0,0.264,5501698048,25316974592,38830080,2687266816,0,0,2042223,2868764
06-12 12:30:39,51.289,10.309,38.402,0,0,5513986048,25304117248,38830080,2687811584,0,0,1296256,1695563
06-12 12:30:40,37.340,14.066,44.757,3.581,0.256,5552889856,25264459776,38830080,2688544768,0,80257024,1246359,1914446
06-12 12:30:41,68.848,17.277,12.827,1.047,0,5643059200,25180811264,38838272,2682044416,0,70234112,2045606,2996520
06-12 12:30:42,55.928,18.299,25.773,0,0,5647630336,25185337344,38838272,2673070080,0,0,2195283,3158129
06-12 12:30:43,54.593,20.997,24.147,0,0.262,5712027648,25119711232,38838272,2674282496,0,0,2270972,3143278
06-12 12:30:44,50,15.657,34.343,0,0,5783629824,25047072768,38838272,2675298304,0,0,1703668,2334347
06-12 12:30:45,35.279,11.168,53.553,0,0,5784174592,25046528000,38838272,2675298304,0,0,1300834,1781631
06-12 12:30:46,56.927,13.098,29.975,0,0,5809512448,25028632576,38846464,2667798528,0,69632,2187864,3197462
06-12 12:30:47,61.273,21.485,16.976,0,0.265,5826732032,25009905664,38846464,2669346816,0,0,2583731,3698186
06-12 12:30:48,53.401,14.861,31.738,0,0,5829013504,25006649344,38846464,2670309376,0,0,1809394,2425452
06-12 12:30:49,46.410,13.333,40.256,0,0,5829894144,25004761088,38850560,2671300608,0,0,1526937,2005788
06-12 12:30:50,50.254,15.228,34.518,0,0,5866635264,24977555456,38850560,2661863424,0,0,1661993,2183186
06-12 12:30:51,58.073,18.490,23.177,0,0.260,5868498944,24973885440,38858752,2663661568,0,999424,2461875,3404077
06-12 12:30:52,49.740,16.146,34.115,0,0,5892919296,24948379648,38858752,2664747008,0,0,1910416,2559154
06-12 12:30:53,45.316,14.684,40,0,0,5898903552,24941498368,38858752,2665644032,0,0,1485108,2190424
06-12 12:30:54,55.357,17.857,26.531,0,0.255,5899304960,24939851776,38858752,2666889216,0,0,2442452,3562126
06-12 12:30:55,54.663,18.912,26.425,0,0,5929836544,24907943936,38858752,2668265472,0,0,2166908,3009653
06-12 12:30:56,60.630,18.373,20.997,0,0,5933613056,24902897664,38866944,2669527040,0,884736,2464190,3370146
06-12 12:30:57,59.343,17.929,22.727,0,0,5937414144,24897798144,38866944,2670825472,0,0,2144540,2970692
06-12 12:30:58,51.680,17.829,30.491,0,0,5937221632,24896921600,38866944,2671894528,0,0,2084104,2854613
06-12 12:30:59,53.944,16.031,29.771,0,0.254,5940072448,24892919808,38866944,2673045504,0,0,2091048,2715137
06-12 12:31:00,49.105,17.903,32.992,0,0,5939937280,24892211200,38866944,2673889280,0,0,1921935,2514860
06-12 12:31:01,43.325,14.610,41.814,0.252,0,5942722560,24888786944,38875136,2674520064,0,36864,1474917,1880754
06-12 12:31:02,58.549,19.430,21.762,0,0.259,5946380288,24883736576,38875136,2675912704,0,0,2525620,3383379
06-12 12:31:03,48.462,15.897,35.641,0,0,5951688704,24877420544,38875136,2676920320,0,0,1840831,2450452
06-12 12:31:04,51.444,17.585,30.971,0,0,5953052672,24875024384,38875136,2677944320,0,0,2097297,2814630
06-12 12:31:05,56.888,17.347,25.765,0,0,5955915776,24870912000,38875136,2679169024,0,0,2094584,2775264
06-12 12:31:06,56.030,19.347,24.623,0,0,5961486336,24864153600,38883328,2680332288,0,24576,2277089,3019083
06-12 12:31:07,53.571,17.347,29.082,0,0,5962395648,24862162944,38883328,2681393152,0,0,2148098,2875419
06-12 12:31:08,57.364,16.021,26.357,0,0.258,5967654912,24855592960,38883328,2682691584,0,0,2231474,3065886
06-12 12:31:09,56.959,17.784,25.258,0,0,5973823488,24848089088,38883328,2684006400,0,0,2357977,3310483
