"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-40-workloadb-512-20201206-135458-client.csv 1 400",,,,"Date:","06 Dec 2020 13:55:05 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 13:55:05,3.041,1.105,95.772,0.067,0.016,416284672,31421841408,38428672,1689255936,411129.514,1586347.550,0,0
06-12 13:55:06,5.853,2.366,91.781,0,0,414392320,31423528960,38555648,1689235456,0,2035712,181420,159256
06-12 13:55:07,13.135,5.328,81.289,0.124,0.124,441794560,31395221504,38604800,1689595904,0,733184,4807,9985
06-12 13:55:08,18.504,7.731,73.638,0,0.127,563425280,31273226240,38621184,1689595904,0,0,11154,9347
06-12 13:55:09,38.046,12.853,48.972,0,0.129,874274816,30957465600,38621184,1689595904,0,0,129442,182463
06-12 13:55:10,4.522,8.786,86.563,0,0.129,876044288,30955364352,38621184,1689595904,0,0,391,373
06-12 13:55:11,9.299,9.682,80.892,0,0.127,887074816,30944333824,38621184,1689595904,0,0,74671,68197
06-12 13:55:12,52.459,13.367,34.048,0,0.126,995540992,30835859456,38629376,1689636864,0,90112,1452824,812730
06-12 13:55:13,57.975,31.899,10,0,0.127,1238548480,30589431808,38629376,1689735168,0,0,3924395,2467998
06-12 13:55:14,67.880,25.220,6.775,0,0.125,1423319040,30395412480,38629376,1689747456,0,0,5123037,4110570
06-12 13:55:15,81.681,16.813,1.506,0,0,1580113920,30229000192,38629376,1689747456,0,0,7130401,4921983
06-12 13:55:16,50.631,41.288,7.955,0,0.126,1741656064,30062460928,38629376,1689747456,0,8192,4286164,2723800
06-12 13:55:17,59.375,33.125,7.500,0,0,1930096640,29868699648,38629376,1689747456,0,0,5390313,3307724
06-12 13:55:18,82.560,16.311,1.129,0,0,2023251968,29769420800,38637568,1689747456,0,16384,8491444,4750009
06-12 13:55:19,75.693,14.736,9.446,0,0.126,2171424768,29617086464,38637568,1689747456,0,0,7183446,3611373
06-12 13:55:20,66.169,17.910,15.920,0,0,2392166400,29392850944,38637568,1689747456,0,0,8000164,4064113
06-12 13:55:21,79.040,9.722,11.111,0,0.126,2448924672,29332951040,38637568,1689747456,0,0,8791660,4206605
06-12 13:55:22,79.397,10.302,10.302,0,0,2497224704,29281906688,38637568,1689747456,0,0,9296593,4193293
06-12 13:55:23,72.020,14.053,13.927,0,0,2678484992,29099225088,38637568,1689747456,0,0,6980469,2999214
06-12 13:55:24,58.573,23.529,17.772,0,0.125,3048046592,28728987648,38645760,1689747456,0,20480,6748419,2931949
06-12 13:55:25,71.357,11.706,16.812,0,0.125,3103592448,28672438272,38645760,1689747456,0,0,7667131,3385652
06-12 13:55:26,70.907,8.438,20.529,0,0.126,3105239040,28670308352,38645760,1689747456,0,0,6760234,2863858
06-12 13:55:27,69.172,8.535,22.166,0,0.127,3108745216,28666585088,38645760,1689747456,0,0,6667493,2848396
06-12 13:55:28,51.304,4.224,44.472,0,0,3108184064,28666986496,38645760,1689747456,0,0,4712118,2011820
06-12 13:55:29,46.529,3.898,49.452,0,0.122,3108077568,28667035648,38653952,1689747456,0,16384,4285261,1814700
06-12 13:55:30,49.815,4.944,45.241,0,0,3109072896,28666028032,38653952,1689747456,0,0,5255960,2253692
06-12 13:55:31,50.552,3.313,46.012,0,0.123,3110428672,28664651776,38653952,1689747456,0,0,3693560,1560215
06-12 13:55:32,43.951,1.975,53.951,0,0.123,3116597248,28658315264,38653952,1689747456,0,0,2414026,1069695
06-12 13:55:33,56.218,6.853,36.802,0,0.127,3125440512,28649021440,38653952,1689747456,0,0,8415525,3628914
06-12 13:55:34,59.245,20.377,20.252,0,0.126,3404812288,28369477632,38653952,1689747456,0,4096,9961168,4268488
06-12 13:55:35,55.339,7.552,36.979,0,0.130,3409330176,28364689408,38662144,1689747456,0,49152,8895666,3859139
06-12 13:55:36,32.238,8.470,59.166,0,0.126,3410980864,28362854400,38662144,1689747456,0,0,9250295,3986252
06-12 13:55:37,19.416,8.249,71.574,0.508,0.254,3411603456,28362178560,38662144,1689747456,0,696320,8260613,3577813
06-12 13:55:38,27.700,7.497,64.549,0,0.254,3403890688,28369846272,38662144,1689747456,0,0,8366077,3634171
06-12 13:55:39,16.145,5.507,78.223,0,0.125,3403833344,28369887232,38662144,1689747456,0,0,6275027,2731431
06-12 13:55:40,15.269,6.133,78.348,0,0.250,3403862016,28369854464,38662144,1689751552,0,0,6166048,2694731
06-12 13:55:41,23.418,7.089,69.367,0,0.127,3403952128,28369756160,38670336,1689751552,0,32768,7552639,3306122
06-12 13:55:42,18.056,7.071,74.621,0,0.253,3403956224,28369739776,38670336,1689751552,0,131072,7511193,3293489
06-12 13:55:43,19.095,5.528,75.251,0,0.126,3405979648,28367708160,38670336,1689751552,0,0,6975469,3079927
06-12 13:55:44,27.861,7.960,63.930,0,0.249,3405918208,28367765504,38670336,1689751552,0,0,8785474,3856750
06-12 13:55:45,22.348,7.702,69.823,0,0.126,3405787136,28367896576,38670336,1689751552,0,0,8946631,3940517
06-12 13:55:46,27.692,9.487,62.564,0,0.256,3405881344,28367798272,38670336,1689751552,0,0,9597989,4223226
06-12 13:55:47,19.265,8.619,71.863,0,0.253,3406004224,28367667200,38678528,1689751552,0,270336,8236920,3633091
06-12 13:55:48,28.482,9.410,61.982,0,0.125,3405922304,28367749120,38678528,1689751552,0,0,9168361,4083981
06-12 13:55:49,16.189,5.106,78.580,0,0.125,3406020608,28367650816,38678528,1689751552,0,0,5983618,2663574
06-12 13:55:50,12.626,5.177,82.071,0,0.126,3405889536,28367781888,38678528,1689751552,0,0,5264840,2317355
06-12 13:55:51,29.487,8.974,61.410,0,0.128,3406409728,28367261696,38678528,1689751552,0,0,10200823,4539679
06-12 13:55:52,17.916,6.353,75.604,0,0.127,3406409728,28367261696,38678528,1689751552,0,0,7539449,3320621
06-12 13:55:53,30.142,8.797,60.802,0,0.259,3406303232,28367360000,38686720,1689751552,0,24576,10088305,4564748
06-12 13:55:54,16.101,6.667,77.107,0,0.126,3406299136,28367327232,38686720,1689751552,0,0,6864720,3063996
06-12 13:55:55,14.033,4.930,81.037,0,0,3406462976,28367163392,38686720,1689751552,0,0,5794089,2577158
06-12 13:55:56,37.772,8.963,53.009,0,0.256,3406004224,28367622144,38686720,1689751552,0,0,9694850,4346071
06-12 13:55:57,36.768,8.142,55.089,0,0,3415654400,28357971968,38686720,1689751552,0,0,9793827,4411695
06-12 13:55:58,29.785,8.745,61.343,0,0.127,3414462464,28359163904,38686720,1689751552,0,0,10524499,4751137
06-12 13:55:59,24.619,6.726,68.528,0,0.127,3417587712,28356030464,38694912,1689751552,0,16384,8401764,3778540
