"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-worker-5",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-80-workloada-1024-20201206-161432-5.csv 1 400",,,,"Date:","06 Dec 2020 16:14:42 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 16:14:42,20.751,4.632,74.421,0.154,0.041,4844240896,26240356352,44281856,2418024448,144557.674,1103163.728,0,0
06-12 16:14:43,1.759,0.503,97.739,0,0,4843753472,26240831488,44281856,2418036736,0,0,82358,80786
06-12 16:14:44,1.508,0.503,97.990,0,0,4843720704,26240864256,44281856,2418036736,0,0,59164,57338
06-12 16:14:45,2.519,1.008,96.474,0,0,4843851776,26240733184,44281856,2418036736,0,0,63404,63473
06-12 16:14:46,1.504,0.752,97.744,0,0,4843753472,26240831488,44281856,2418036736,0,0,58464,61126
06-12 16:14:47,2.267,0.756,96.977,0,0,4843884544,26240700416,44281856,2418036736,0,0,54972,52824
06-12 16:14:48,1.511,0.756,97.733,0,0,4843917312,26240667648,44290048,2418028544,0,1114112,56176,55222
06-12 16:14:49,1.266,0.253,98.481,0,0,4843970560,26240606208,44290048,2418036736,0,0,56479,57142
06-12 16:14:50,1.508,0.754,97.739,0,0,4844003328,26240573440,44290048,2418036736,0,0,56247,54490
06-12 16:14:51,1.008,1.008,97.985,0,0,4843970560,26240606208,44290048,2418036736,0,0,55791,53721
06-12 16:14:52,2.284,0.254,97.462,0,0,4844519424,26240057344,44290048,2418036736,0,0,55920,56730
06-12 16:14:53,1.008,0.504,98.237,0,0.252,4844511232,26240057344,44298240,2418036736,0,36864,56654,54455
06-12 16:14:54,1.508,0.754,97.739,0,0,4844511232,26240057344,44298240,2418036736,0,0,56312,55085
06-12 16:14:55,1.269,0.761,97.970,0,0,4844511232,26240057344,44298240,2418036736,0,0,73734,68069
06-12 16:14:56,1.511,0.504,97.985,0,0,4845285376,26239283200,44298240,2418036736,0,0,54869,55193
06-12 16:14:57,1.759,0.503,97.739,0,0,4845477888,26239090688,44298240,2418036736,0,0,58179,56722
06-12 16:14:58,1.008,0.756,98.237,0,0,4845510656,26239057920,44298240,2418036736,0,0,56432,54372
06-12 16:14:59,25.307,14.742,59.951,0,0,4934270976,26055553024,44306432,2510876672,0,12288,68835,96910
06-12 16:15:00,62.836,23.472,13.692,0,0,5110140928,25703153664,44306432,2683301888,0,0,60668,69686
06-12 16:15:01,69.682,20.049,7.579,2.445,0.244,5208895488,25490227200,44331008,2793844736,0,64548864,67398,83436
06-12 16:15:02,32.250,3.500,28.250,36,0,5216161792,25407844352,44339200,2866700288,0,129437696,71476,93385
06-12 16:15:03,6.297,2.519,72.796,18.388,0,5204267008,25619333120,44384256,2671702016,0,64106496,89669,126614
06-12 16:15:04,17.750,2.500,79.750,0,0,5207191552,25616363520,44384256,2671710208,0,0,234809,247240
