"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-client",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-80-workloada-1024-20201206-163942-client.csv 1 400",,,,"Date:","06 Dec 2020 16:39:51 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 16:39:51,19.386,6.205,74.319,0.024,0.066,483926016,31338274816,44285952,1694466048,99028.201,394907.473,0,0
06-12 16:39:52,0.251,0.125,99.247,0.251,0.125,483692544,31338467328,44404736,1694371840,0,2113536,17989,11442
06-12 16:39:53,10.422,5.583,83.871,0.124,0,489910272,31331938304,44429312,1694531584,0,569344,569902,527625
06-12 16:39:54,19.824,3.890,76.286,0,0,535531520,31285694464,44466176,1694658560,0,233472,8009,10864
06-12 16:39:55,17.340,11.995,70.535,0,0.130,734527488,31084761088,44466176,1694658560,0,0,6844,5452
06-12 16:39:56,31.593,6.789,61.619,0,0,1137213440,30675451904,44466176,1694658560,0,0,191,281
06-12 16:39:57,56.606,7.383,36.010,0,0,1376972800,30434467840,44466176,1694658560,0,8192,648,761
06-12 16:39:58,25.032,10.452,64.387,0,0.129,1395892224,30414516224,44466176,1694658560,0,0,256191,364735
06-12 16:39:59,11.012,8.451,80.282,0.128,0.128,1418792960,30391607296,44474368,1694658560,0,90112,33839,28844
06-12 16:40:00,9.935,8.774,81.161,0,0.129,1427886080,30382514176,44474368,1694658560,0,0,103774,118195
06-12 16:40:01,18.299,9.536,72.036,0,0.129,1438343168,30372057088,44474368,1694658560,0,0,837528,156737
06-12 16:40:02,24.873,11.548,63.452,0,0.127,1462448128,30347952128,44474368,1694658560,0,0,471855,225466
06-12 16:40:03,41.612,12.224,46.164,0,0,1486815232,30323585024,44474368,1694658560,0,0,651552,238453
06-12 16:40:04,38.996,12.741,48.134,0,0.129,1611882496,30198452224,44478464,1694744576,0,16384,1006668,369265
06-12 16:40:05,54.806,35.456,9.738,0,0,1801576448,30008307712,44478464,1694961664,0,4096,3625056,2667530
06-12 16:40:06,65.288,30.952,3.759,0,0,2014867456,29781659648,44478464,1694961664,0,0,5583569,5117089
06-12 16:40:07,53.778,39.798,6.423,0,0,2208116736,29578969088,44478464,1694961664,0,0,5038781,4834113
06-12 16:40:08,55.781,38.374,5.718,0,0.127,2409226240,29368160256,44478464,1694961664,0,0,4626818,4417764
06-12 16:40:09,77.847,20.776,1.252,0,0.125,2590572544,29172678656,44478464,1694961664,0,0,7414385,7041265
06-12 16:40:10,66.417,27.965,5.618,0,0,2746073088,29007011840,44486656,1694961664,0,20480,5540289,5314108
06-12 16:40:11,34.177,57.848,7.848,0,0.127,2958950400,28788441088,44486656,1694961664,0,0,3126857,2891105
06-12 16:40:12,51.741,43.532,4.726,0,0,3126001664,28613476352,44486656,1694961664,0,0,4340041,4178895
