"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sconekv-worker-7",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output sconekv-80-workloadb-1024-20201206-170456-7.csv 1 400",,,,"Date:","06 Dec 2020 17:05:05 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","recv","send"
06-12 17:05:05,26.001,5.816,67.825,0.205,0.152,4727668736,26299482112,51699712,2464550912,75134.007,1567446.611,0,0
06-12 17:05:06,1.527,0.509,97.964,0,0,4727287808,26299858944,51699712,2464555008,0,0,84588,81665
06-12 17:05:07,1.269,0.508,98.223,0,0,4727742464,26299404288,51699712,2464555008,0,0,63801,60669
06-12 17:05:08,1.750,0.750,97.250,0,0.250,4727578624,26299568128,51699712,2464555008,0,0,62718,65918
06-12 17:05:09,1.508,0.754,97.739,0,0,4727578624,26299568128,51699712,2464555008,0,0,59797,58321
06-12 17:05:10,1.515,0,98.485,0,0,4727574528,26299568128,51703808,2464555008,0,77824,58626,58785
06-12 17:05:11,1.754,0.501,97.744,0,0,4727771136,26299371520,51703808,2464555008,0,0,57883,57532
06-12 17:05:12,2.020,0.505,97.475,0,0,4727574528,26299568128,51703808,2464555008,0,0,65418,62819
06-12 17:05:13,1.759,1.005,97.236,0,0,4727672832,26299469824,51703808,2464555008,0,0,67183,62502
06-12 17:05:14,1.263,0.253,98.485,0,0,4727640064,26299502592,51703808,2464555008,0,0,56079,57663
06-12 17:05:15,1.511,0.252,98.237,0,0,4727574528,26299568128,51703808,2464555008,0,0,60429,59319
06-12 17:05:16,2.261,0.251,97.236,0.251,0,4727635968,26299502592,51707904,2464555008,0,12288,63992,81637
06-12 17:05:17,2.030,0.508,97.462,0,0,4727570432,26299568128,51707904,2464555008,0,0,94947,105006
06-12 17:05:18,2.778,0.758,96.465,0,0,4727664640,26299469824,51707904,2464559104,0,0,74259,105081
06-12 17:05:19,1.003,1.504,97.494,0,0,4727631872,26299502592,51707904,2464559104,0,0,63605,74436
06-12 17:05:20,3.990,0.499,95.262,0,0.249,4727623680,26299502592,51707904,2464567296,0,0,88100,125189
06-12 17:05:21,45.297,3.960,50.743,0,0,4729421824,26297630720,51712000,2464600064,0,20480,395824,592357
06-12 17:05:22,39.055,4.975,55.970,0,0,4759486464,26267459584,51712000,2464686080,0,0,512653,647080
06-12 17:05:23,24.812,3.759,71.429,0,0,4760375296,26266505216,51712000,2464751616,0,0,339649,367255
06-12 17:05:24,17.922,3.117,78.701,0,0.260,4764200960,26262437888,51712000,2464845824,0,0,554320,663290
06-12 17:05:25,22.506,5.882,71.611,0,0,4767195136,26259111936,51712000,2465026048,0,65536,751164,851289
06-12 17:05:26,21.891,7.463,70.647,0,0,4796891136,26195341312,51712000,2498224128,0,24576,372078,398193
06-12 17:05:27,59.753,17.037,23.210,0,0,4901306368,25942155264,51712000,2643013632,0,0,384574,407373
06-12 17:05:28,74.755,17.402,7.598,0,0.245,4977053696,25720229888,51712000,2785435648,0,0,519557,623901
06-12 17:05:29,71.253,11.057,15.479,2.211,0,5003837440,25625882624,51720192,2850799616,0,99676160,342963,375857
06-12 17:05:30,28.180,3.990,29.426,38.404,0,5029957632,25564676096,51720192,2884689920,0,124198912,452389,400425
06-12 17:05:31,15.309,5.432,65.432,13.827,0,5025955840,25768054784,51757056,2689847296,0,34320384,394090,420445
06-12 17:05:32,13.368,3.085,83.548,0,0,5049364480,25744502784,51757056,2689904640,0,0,406905,496744
06-12 17:05:33,32.289,6.747,60.723,0,0.241,5075070976,25718403072,51757056,2690093056,0,0,738694,806790
06-12 17:05:34,25.840,5.943,68.217,0,0,5079494656,25713594368,51757056,2690293760,0,0,840290,1007026
06-12 17:05:35,25.063,6.076,68.861,0,0,5105045504,25687801856,51757056,2690445312,0,0,751316,903668
